# simulation: Earthquake Building Sim
# Exported: 2025-12-20T13:04:15.291047
#
Time(s),Max_Displacement
8.2403,5.833640e+219
8.2503,1.112543e+220
8.2603,2.121749e+220
8.2703,4.046423e+220
8.2803,7.717001e+220
8.2903,1.471722e+221
8.3003,2.806745e+221
8.3103,5.352791e+221
8.3203,1.020840e+222
8.3303,1.946860e+222
8.3403,3.712889e+222
8.3503,7.080912e+222
8.3603,1.350413e+223
8.3703,2.575394e+223
8.3803,4.911577e+223
8.3903,9.366949e+223
8.4003,1.786386e+224
8.4103,3.406847e+224
8.4203,6.497255e+224
8.4303,1.239102e+225
8.4403,2.363112e+225
8.4503,4.506731e+225
8.4603,8.594861e+225
8.4703,1.639140e+226
8.4803,3.126031e+226
8.4903,5.961706e+226
8.5003,1.136967e+227
8.5103,2.168328e+227
8.5203,4.135255e+227
8.5303,7.886413e+227
8.5403,1.504031e+228
8.5503,2.868362e+228
8.5603,5.470301e+228
8.5703,1.043250e+229
8.5803,1.989600e+229
8.5903,3.794398e+229
8.6003,7.236360e+229
8.6103,1.380058e+230
8.6203,2.631932e+230
8.6303,5.019401e+230
8.6403,9.572583e+230
8.6503,1.825603e+231
8.6603,3.481638e+231
8.6703,6.639889e+231
8.6803,1.266304e+232
8.6903,2.414990e+232
8.7003,4.605667e+232
8.7103,8.783544e+232
8.7203,1.675124e+233
8.7303,3.194657e+233
8.7403,6.092584e+233
8.7503,1.161927e+234
8.7603,2.215930e+234
8.7703,4.226036e+234
8.7803,8.059544e+234
8.7903,1.537049e+235
8.8003,2.931332e+235
8.8103,5.590391e+235
8.8203,1.066153e+236
8.8303,2.033277e+236
8.8403,3.877697e+236
8.8503,7.395220e+236
8.8603,1.410355e+237
8.8703,2.689711e+237
8.8803,5.129592e+237
8.8903,9.782730e+237
8.9003,1.865681e+238
8.9103,3.558071e+238
8.9203,6.785655e+238
8.9303,1.294104e+239
8.9403,2.468006e+239
8.9503,4.706776e+239
8.9603,8.976370e+239
8.9703,1.711898e+240
